company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
"T2 Biosystems, Inc.",T2SARS-CoV-2 Panel,0.005,0.13134,0.02572,0.46648999999999996,0.99985,0.99911,0.99997,0.03695,0.01066,0.16539,0.86866,0.53351,0.9742799999999999,0.00015,2.9999999999999997e-05,0.0008900000000000001
"T2 Biosystems, Inc.",T2SARS-CoV-2 Panel,0.01,0.23308,0.0504,0.63737,0.99969,0.99821,0.99995,0.041639999999999996,0.015609999999999999,0.16883,0.7669199999999999,0.36263,0.9496,0.00031,5e-05,0.00179
"T2 Biosystems, Inc.",T2SARS-CoV-2 Panel,0.015,0.31422,0.07408,0.72601,0.99954,0.9973,0.99992,0.04633,0.02055,0.17228,0.6857800000000001,0.27399,0.9259200000000001,0.00045999999999999996,8e-05,0.0027
"T2 Biosystems, Inc.",T2SARS-CoV-2 Panel,0.02,0.38044,0.09684,0.78027,0.9993799999999999,0.9963799999999999,0.99989,0.051019999999999996,0.0255,0.17572000000000002,0.61956,0.21973,0.9031600000000001,0.00062,0.00011,0.0036200000000000004
"T2 Biosystems, Inc.",T2SARS-CoV-2 Panel,0.025,0.4355,0.11872,0.8169,0.9992200000000001,0.99546,0.99987,0.055720000000000006,0.03044,0.17917,0.5645,0.1831,0.88128,0.00078,0.00013000000000000002,0.00454
"T2 Biosystems, Inc.",T2SARS-CoV-2 Panel,0.03,0.48202,0.13978,0.8433,0.9990600000000001,0.9945299999999999,0.99984,0.060410000000000005,0.03539,0.18261,0.51798,0.1567,0.8602200000000001,0.0009400000000000001,0.00016,0.00547
"T2 Biosystems, Inc.",T2SARS-CoV-2 Panel,0.035,0.52182,0.16005999999999998,0.8632200000000001,0.9989,0.99359,0.9998100000000001,0.0651,0.04033,0.18606,0.47818,0.13677999999999998,0.8399399999999999,0.0011,0.00018999999999999998,0.006409999999999999
"T2 Biosystems, Inc.",T2SARS-CoV-2 Panel,0.04,0.55628,0.1796,0.87879,0.99874,0.99264,0.9997799999999999,0.06978999999999999,0.04528,0.1895,0.44372,0.12120999999999998,0.8204,0.00126,0.00022,0.007359999999999999
"T2 Biosystems, Inc.",T2SARS-CoV-2 Panel,0.045,0.5864,0.19844,0.8912899999999999,0.9985700000000001,0.9916799999999999,0.99975,0.07447999999999999,0.050230000000000004,0.19294,0.4136,0.10870999999999999,0.80156,0.00143,0.00025,0.008320000000000001
"T2 Biosystems, Inc.",T2SARS-CoV-2 Panel,0.05,0.6129399999999999,0.21661999999999998,0.90156,0.9984,0.99072,0.99972,0.07917,0.055170000000000004,0.19639,0.38706,0.09844,0.78338,0.0016,0.00028,0.00928
"T2 Biosystems, Inc.",T2SARS-CoV-2 Panel,0.055,0.63652,0.23418000000000003,0.9101299999999999,0.99823,0.98975,0.9997,0.08387,0.06012000000000001,0.19983,0.36348,0.08987,0.76582,0.0017699999999999999,0.0003,0.01025
"T2 Biosystems, Inc.",T2SARS-CoV-2 Panel,0.06,0.6576,0.25114000000000003,0.9174,0.9980600000000001,0.98877,0.9996700000000001,0.08856,0.06506,0.20328,0.3424,0.0826,0.7488600000000001,0.0019399999999999999,0.00033,0.01123
"T2 Biosystems, Inc.",T2SARS-CoV-2 Panel,0.065,0.67655,0.26753000000000005,0.92364,0.9978899999999999,0.9877799999999999,0.99964,0.09325,0.07001,0.20672,0.32345,0.07636,0.73247,0.0021100000000000003,0.00036,0.01222
"T2 Biosystems, Inc.",T2SARS-CoV-2 Panel,0.07,0.6936899999999999,0.28339000000000003,0.92906,0.99772,0.9867799999999999,0.99961,0.09794,0.07495,0.21016999999999997,0.30630999999999997,0.07094,0.7166100000000001,0.00228,0.00039,0.013219999999999999
