company,test_name,prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
Coyote Bioscience,DirectDetect™ SARS-CoV-2 Detection Kit,0.005,0.023030000000000002,0.00845,0.06225,0.9974200000000001,0.9961200000000001,0.99825,0.11842000000000001,0.0538,0.24565,0.9769700000000001,0.93775,0.99155,0.0025800000000000003,0.00175,0.0038799999999999998
Coyote Bioscience,DirectDetect™ SARS-CoV-2 Detection Kit,0.01,0.045239999999999995,0.01684,0.11772,0.9948299999999999,0.99224,0.9965,0.12057000000000001,0.056889999999999996,0.2465,0.95476,0.88228,0.98316,0.00517,0.0035,0.0077599999999999995
Coyote Bioscience,DirectDetect™ SARS-CoV-2 Detection Kit,0.015,0.06667000000000001,0.02518,0.16747,0.99223,0.98835,0.9947299999999999,0.12272000000000001,0.059989999999999995,0.24735,0.9333299999999999,0.8325299999999999,0.97482,0.00777,0.00527,0.01165
Coyote Bioscience,DirectDetect™ SARS-CoV-2 Detection Kit,0.02,0.08737,0.033460000000000004,0.21233000000000002,0.98961,0.98444,0.99295,0.12485999999999998,0.06308,0.2482,0.9126299999999999,0.78767,0.96654,0.01039,0.00705,0.01556
Coyote Bioscience,DirectDetect™ SARS-CoV-2 Detection Kit,0.025,0.10737000000000001,0.04168,0.253,0.98698,0.9805299999999999,0.99116,0.12700999999999998,0.06617999999999999,0.24906,0.8926299999999999,0.747,0.9583200000000001,0.013019999999999999,0.00884,0.019469999999999998
Coyote Bioscience,DirectDetect™ SARS-CoV-2 Detection Kit,0.03,0.1267,0.04985,0.29004,0.98434,0.9766100000000001,0.98936,0.12915,0.06927,0.24991,0.8733,0.70996,0.95015,0.01566,0.01064,0.02339
Coyote Bioscience,DirectDetect™ SARS-CoV-2 Detection Kit,0.035,0.1454,0.057960000000000005,0.32391,0.98169,0.9726799999999999,0.98754,0.1313,0.07237,0.25076,0.8546,0.67609,0.94204,0.01831,0.012459999999999999,0.02732
Coyote Bioscience,DirectDetect™ SARS-CoV-2 Detection Kit,0.04,0.1635,0.06601,0.355,0.9790200000000001,0.9687399999999999,0.9857100000000001,0.13345,0.07547000000000001,0.25161,0.8365,0.645,0.93399,0.020980000000000002,0.01429,0.03126
Coyote Bioscience,DirectDetect™ SARS-CoV-2 Detection Kit,0.045,0.18102000000000001,0.07401,0.38364000000000004,0.97634,0.9648,0.98387,0.13559000000000002,0.07856,0.25246,0.81898,0.61636,0.92599,0.02366,0.016130000000000002,0.0352
Coyote Bioscience,DirectDetect™ SARS-CoV-2 Detection Kit,0.05,0.198,0.08196,0.41011000000000003,0.97364,0.9608399999999999,0.9820200000000001,0.13774,0.08166,0.25332,0.802,0.5898899999999999,0.91804,0.02636,0.01798,0.03916
